Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral,Category
191717,"46.04620,7.93552",2823,Glacier,Tundra,Magnesite,SULFATE_UND_HYDROXIDE
133278,"46.03675,7.82284",2918,Deposit,Tundra,Piemontite,GRANAT
220211,"46.65558,6.53632",545,Quarry,Temperate oceanic climate,Marcasite,SULFIDE
12413,"46.06861,7.91583",2997,Outcrop,Tundra,Piemontite,GRANAT
122692,"46.19028,7.68056",2500,Mine,Tundra,Gladite,SILICATE
188887,"46.19742,8.13984",1006,Village,Subarctic climate,Matildite,SILICATE
191655,"47.69108,8.59052",441,Pit,Temperate oceanic climate,Haüyne,EDELSTEINE
29314,"46.79556,6.52056",756,Group of Quarries (Abandoned) - last checked 2023,Temperate oceanic climate,Marcasite,SULFIDE
133994,"46.13320,8.71930",189,Valley,Subarctic climate,Dumortierite,SILICATE
134445,"46.11749,6.97984",2271,Vein,Temperate oceanic climate,Torbernite,URANMINERALE
424715,"46.29847,10.01472",2252,Group of Mines (Abandoned) - last checked 2022,Tundra,Actinolite,SILICATE
191652,"46.45638,9.38944",2340,Valley,Subarctic climate,Hematite,SULFIDE
29199,"46.40924,8.11506",1757,Creek,Subarctic climate,Cerussite,PHOSPHATE
188954,"46.32444,9.70139",2447,Glacier,Tundra,Cerussite,PHOSPHATE
428982,"46.68385,7.77045",649,Quarry,Temperate oceanic climate,Fluorite,SONSTIGE
192978,"46.55610,8.25993",2756,Cleft,Subarctic climate,Phenakite,SILICATE
127199,"46.23917,7.65389",2986,Unknown,Tundra,Muscovite,SILICATE
417930,"46.39445,9.17576",2161,Outcrop,Subarctic climate,Amphibole,QUARTZ
404851,"47.70684,8.81155",412,Dike,Temperate oceanic climate,Fayalite-Forsterite Series,PYROXENE
191657,"46.62694,10.25028",2620,Mountain,Tundra,Baryte,CARBONATE
193400,"47.23570,7.47418",771,Pit,Temperate oceanic climate,Smythite,SILICATE
35157,"46.53889,8.51944",2908,Peak,Tundra,Chlorite,CHLORIT
188916,"46.58829,8.83169",2689,Mountain,Tundra,Chlorite,CHLORIT
217957,"46.27743,8.57602",2183,Mountain,Subarctic climate,Piemontite,GRANAT
191702,"46.53052,8.83140",1777,Unknown,Tundra,Tschermakite,PYROXENE
246463,"46.01441,8.86157",571,Unknown,Subarctic climate,Cerussite,PHOSPHATE
105794,"46.67417,8.64195",2821,Mountain,Tundra,Milarite,PHOSPHATE
68879,"46.17194,7.37083",2293,Unknown,Tundra,Fergusonite,SILICATE
13708,"46.29657,8.61876",388,Group of Quarries,Subarctic climate,Fluorapophyllite,QUARTZ
188868,"46.62671,9.40756",1508,Unknown,Tundra,Quartz,QUARTZ
134460,"46.55292,9.64135",1868,Deposit,Tundra,Piemontite,GRANAT
191395,"46.24131,9.07996",564,Valley,Subarctic climate,Arsenopyrite,PHOSPHATE
191593,"46.83287,9.80500",2657,Pass,Tundra,Fayalite-Forsterite Series,PYROXENE
3213,"46.64417,8.70917",1673,Gorge,Tundra,Digenite,SILICATE
193402,"46.70917,8.98972",2008,Mountain,Tundra,Chalcedony,QUARTZ
133214,"46.42228,9.78369",2325,Deposit,Tundra,Manganese-bearing Calcite,CALCIT
4633,"46.26833,8.08583",3007,Unknown,Subarctic climate,Chlorite,CHLORIT
188628,"46.73722,9.22972",1076,Occurrence,Tundra,Cerussite,PHOSPHATE
193419,"46.70112,7.21319",1215,Gorge,Temperate oceanic climate,Amber,QUARTZ
3222,"46.43306,8.77694",2871,Mountain,Subarctic climate,Sillimanite,ALUMINIUM_SILIKATE
22190,"46.54639,9.46222",2153,Mine,Tundra,Kutnohorite,DOLOMIT
188955,"46.22722,9.04778",255,Unknown,Subarctic climate,Chlorite,CHLORIT
134503,"46.97943,8.24876",1816,Mountain Range,Subarctic climate,Baryte,CARBONATE
134619,"46.53444,9.46444",2808,Mountain,Tundra,Digenite,SILICATE
134020,"46.47798,8.57711",2253,Lake,Subarctic climate,Chlorite,CHLORIT
191716,"47.67761,8.49284",525,Hill,Temperate oceanic climate,Pyrite,SULFIDE
193529,"46.63452,8.62629",1916,Unknown,Tundra,Sillimanite,ALUMINIUM_SILIKATE
191766,"46.54128,8.18136",3325,Unknown,Subarctic climate,Quartz,QUARTZ
193420,"46.69538,7.87787",600,Village,Temperate oceanic climate,Oil Quartz,QUARTZ
250005,"47.34556,7.88167",404,Unknown,Temperate oceanic climate,Silex,QUARTZ
134097,"46.16188,7.60264",2012,Mine,Tundra,Azurite,PHOSPHATE
191418,"46.07973,7.13043",723,Mine,Tundra,Hemimorphite,SILICATE
