Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral
302435,"46.25500,9.22694",1256,Valley,Subarctic climate,Sillimanite
6985,"46.29468,8.12565",3096,Mountain,Subarctic climate,Sagenite (of Saussure)
188932,"46.52845,7.43371",2163,Unknown,Temperate oceanic climate,Diaspore
134528,"47.32306,9.53417",571,Cave,Temperate oceanic climate,Calcite
127288,"46.19917,6.00222",379,Alluvial Deposit,Temperate oceanic climate,Gold
134057,"46.23544,7.59054",1795,Mine,Tundra,Brochantite
122688,"46.03748,7.18409",2386,Unknown,Tundra,Brochantite
134532,"46.57842,8.32349",1945,Cleft,Subarctic climate,Milarite
245717,"46.53740,9.49926",2505,Ridge,Tundra,Aegirine
192978,"46.55610,8.25993",2614,Cleft,Subarctic climate,Smoky Quartz
122690,"46.16474,7.61815",1721,Mine,Tundra,Weilite
133227,"46.62741,9.48154",2170,Mine,Tundra,Quartz
56467,"46.10918,7.25686",2318,Group of Mines,Tundra,Brochantite
193412,"46.02617,7.48109",2039,Village,Tundra,Chabazite-Ca
420813,"46.85689,7.05482",499,Placer,Temperate oceanic climate,Tetra-auricupride
3229,"46.44624,8.49302",2653,Unknown,Subarctic climate,Xenotime
133396,"46.33846,9.72451",3142,Mountain,Tundra,Beryl
245915,"46.39004,10.01357",2933,Mountain,Tundra,Siderite
107720,"46.40750,8.15639",1241,Unknown,Subarctic climate,Chlorite
108413,"46.36474,7.99881",1334,Unknown,Tundra,Iron Rose
133395,"46.56312,8.80102",1921,Pass,Tundra,Quartz
191356,"46.78828,8.82617",3049,Mountain,Tundra,Hornblende Root Name
134377,"46.36093,9.63792",1283,Group of Outcrops,Tundra,Magnesio-riebeckite
122629,"46.36428,7.03268",1418,Unknown,Tundra,Domeykite
27322),"46.28328,9.99963",3031,Peak,Tundra,Stibnite
3233,"46.21667,7.60000",1607,Mine,Tundra,Cerussite
191618,"47.74798,8.68782",478,Quarry,Temperate oceanic climate,Marcasite
191628,"46.72167,8.85389",1845,Unknown,Tundra,Quartz
108294,"46.46639,7.94694",2802,Glacier,Tundra,Amphibole
134088,"46.23314,7.61573",2338,Vein,Tundra,Brochantite
191386,"46.84079,8.76666",1200,Valley,Tundra,Apatite
132095,"46.57250,8.41500",2413,Mountain Area,Subarctic climate,Phenakite
134041,"46.05435,7.11073",2521,Slope,Tundra,Wulfenite
260761,"46.77361,8.97056",2047,Mountain,Tundra,Amphibole
134038,"46.54306,8.59111",2253,Occurrence,Tundra,Actinolite
417929,"46.39313,9.17975",2305,Outcrop,Subarctic climate,White mica
65693,"46.01285,7.84230",2950,Mountain Range,Tundra,Titanite
133973,"46.84426,9.82552",2250,Alpine Pasture,Tundra,Chrome-Spinel (of Dana)
191357,"46.38361,8.97250",367,Unknown,Subarctic climate,Enstatite
242888,"46.07200,7.85596",3670,Glacier,Tundra,Pyrite
191373,"46.30195,8.56862",780,Quarry,Subarctic climate,Thulite
188870,"46.64086,9.06497",1739,Mountain,Tundra,Quartz
29663,"46.65250,9.35806",2911,Mountain,Tundra,Anatase
249980,"47.47972,8.39222",733,Mountain Range,Temperate oceanic climate,Limonite
29316,"47.47446,8.03879",491,Mine,Temperate oceanic climate,Amethyst
245457,"46.25495,7.60587",2255,Alpine Pasture,Tundra,Tennantite
191651,"46.53286,9.49798",2516,Unknown,Tundra,Tephroite
122696,"46.11527,8.69592",394,Valley,Subarctic climate,Almandine-Spessartine Series
134413,"46.56194,8.58139",2664,Mountain,Tundra,Titanite
